Ee [MeV],△E/E(FWHM)[%],Charge [pC],Density [/cc],Div[mrad],Color,Ref,Year,Num jets,Plaser [TW],Type,Profile,Injection,File
600,,620,6.00E+18,8,red ,"Li, Phys Plasmas 24, 023108 (2017)",2017,1,80,gas jet,Uniform,uniform,Li_Li_PhysPlasmas24_023108_2017.pdf
249,8,68,5.00E+18,1,red,"Li, Phys Plasmas 24, 023108 (2017)",2017,1,80,gas jet,Uniform,uniform,Li_Li_PhysPlasmas24_023108_2017.pdf
367,10.6,87,,1,green,"WuY, ApplSci 2019 2565 (2019)",2019,2,100,double gas jet,WuY_ApplSci_2019.png,shock,WuY_ApplSci_2019.pdf
36,1.4,9,,1,green,"WuY, ApplSci 2019 2565 (2019)",2019,2,100,double gas jet,WuY_ApplSci_2019.png,shock,WuY_ApplSci_2019.pdf
640,1.1,11,,1,green,"WuY, ApplSci 2019 2565 (2019)",2019,2,100,double gas jet,WuY_ApplSci_2019.png,shock,WuY_ApplSci_2019.pdf
12,69,8.5,2.50E+18,10,red ,"Buck, PRL 110, 185006 (2013)",2013,1,27,gas jet,Buck_PRL110_2013.png,shock,Buck_PhysRevLett.110.185006.pdf
25,15,6.5,6.00E+18,10,yellow,"Buck, PRL 110, 185006 (2013)",2013,1,27,gas jet,Buck_PRL110_2013.png,shock,Buck_PhysRevLett.110.185006.pdf
54,9.6,6.2,5.00E+18,10,yellow,"Buck, PRL 110, 185006 (2013)",2013,1,27,gas jet,Buck_PRL110_2013.png,shock,Buck_PhysRevLett.110.185006.pdf
95,8.7,6,2.80E+18,10,green,"Buck, PRL 110, 185006 (2013)",2013,1,27,gas jet,Buck_PRL110_2013.png,shock,Buck_PhysRevLett.110.185006.pdf
119,4.7,1.5,2.70E+18,10,green,"Buck, PRL 110, 185006 (2013)",2013,1,27,gas jet,Buck_PRL110_2013.png,shock,Buck_PhysRevLett.110.185006.pdf
133,4.8,1.2,3.30E+18,10,green,"Buck, PRL 110, 185006 (2013)",2013,1,27,gas jet,Buck_PRL110_2013.png,shock,Buck_PhysRevLett.110.185006.pdf
49,10,90,1.50E+18,10,green,"Buck, PRL 110, 185006 (2013)",2013,1,27,gas jet,Buck_PRL110_2013.png,shock,Buck_PhysRevLett.110.185006.pdf
550,10,50,,,GREEN,,2023,,8,gas jet,,shock,
